product_category,en,nl,de,fr
Aircon/dehumidifier,Air conditioner,Airco,Klimaanlage,Clim
Aircon/dehumidifier,Air freshener / Air purifier,Luchtverfrisser / luchtreiniger,Lufterfrischer,Diffuseur désodorisant
Aircon/dehumidifier,Dehumidifier,Ontvochtiger,Luftentfeuchter,Déshydrateur
Aircon/dehumidifier,Humidifier,Luchtbevochtiger,Luftbefeuchter,Humidificateur
Aircon/dehumidifier,Ventilation system / extractor system,Ventilatiesysteem / afzuiginstallatie,Lüftungsanlage / Absauganlage,Hôte aspirante / système d'échappement
Battery/charger/adapter,AC Adaptor,AC-adapter,AC-Adapter,AC Adaptateur
Battery/charger/adapter,Adapter,Adapter,Adapter,Adaptateur
Battery/charger/adapter,Battery,Accu,Akku,Batterie
Battery/charger/adapter,Bicycle battery,Fietsaccu,E-Bike-Akku,Batterie vélo électrique
Battery/charger/adapter,Cable / Cord,Kabel / Snoer,Kabel,Câble / Cordon
Battery/charger/adapter,Charger,Acculader,Ladegerät,Chargeur
Battery/charger/adapter,Charger (battery / power supply),Oplader (accu- / batterij- / voeding),Ladegerät (Akku- / Netzteil),Chargeur (batterie / alimentation)
Battery/charger/adapter,Charging cable,Oplaadkabel / Laadsnoer,Ladekabel,Câble de charge
Battery/charger/adapter,Distribution plug,Verdeelstekker,Mehrfachstecker,Fiche multiple
Battery/charger/adapter,E-Bike charger,Lader E-Bike,Ladegerät E-Bike,Chargeur E-Bike
Battery/charger/adapter,Extension cord,Verlengsnoer,Verlängerungskabel,Rallonge
Battery/charger/adapter,Home electric charger,Thuislader,Heimladegerät,Va et vient / Chargeur domestique
Battery/charger/adapter,Plug,Stekker,Stecker,Fiche mâle
Battery/charger/adapter,Powerbank,Powerbank,Powerbank,Batterie de secours / Power Bank
Battery/charger/adapter,Socket / power strip,Stekkerdoos / contactdoos,Steckdose,Prise multiple
Battery/charger/adapter,Solar panel,Zonnepaneel,Solarpanel,Panneau solaire
Battery/charger/adapter,Switch,Switch,Switch,Switch
Battery/charger/adapter,Transformer,Transformator,Transformator,Transformateur
Battery/charger/adapter,UPS emergency power supply,UPS noodstroomvoorziening,UPS Notstromversorgung,UPS alimentation de secours
Battery/charger/adapter,USB network adapter,USB-netwerkadapter,USB-Netzwerkadapter,Adaptateur réseau USB
Coffee maker,Cafetiere,Cafetière,Cafetiere,Cafetière
Coffee maker,Coffee maker,Koffieapparaat,Kaffeemaschine,Cafetière / Machine à café
Coffee maker,Espresso maker,Espressoapparaat,Espressomaschine,Machine à expresso
Coffee maker,Percolator,Percolator,Perkolator,Percolateur
Decorative or safety lights,Bicycle light / bike light,Fietslamp,Fahrradlampe,Lampe de vélo
Decorative or safety lights,Bicycle lighting,Fietsverlichting,Fahrradbeleuchtung,Lumière vélo
Decorative or safety lights,Camping lamp,Campinglamp,Campinglampe,Lampe de camping
Decorative or safety lights,Chandelier,Kroonluchter,Kronleuchter,Chandelier
Decorative or safety lights,Christmas decoration,Kerstversiering,Weihnachtsschmuck,Décorations de Noël
Decorative or safety lights,Christmas lights,Kerstverlichting,Weihnachtsbeleuchtung,Lumières de noël
Decorative or safety lights,Construction light,Bouwlamp / Werklamp,Baustrahler,Lampe de travail / lampe chantier
Decorative or safety lights,Dimmer,Dimmer,Dimmer,Gradateur
Decorative or safety lights,Disco lamp,Discolamp,Disco-Lampe,Lampe disco
Decorative or safety lights,Flashlight / electric torch,Zaklamp,Taschenlampe,Lampe de poche
Decorative or safety lights,Globe with lighting,Globe met verlichting,Globus mit Beleuchtung,Globe lumineux
Decorative or safety lights,Grow light,Groeilamp / Kweeklamp,Wachstumslicht,Lampe de culture
Decorative or safety lights,Head lamp / Head torch,Hoofdlamp,Kopflampe,Lampe de tête
Decorative or safety lights,Horticultural lamp,Tuinbouwlamp,Gartenbaulampe,Lampe horticole
Decorative or safety lights,LED lamp,Ledlamp,LED-Lampe,Lampe LED
Decorative or safety lights,Light cord / fairy lights,Lichtsnoer / Snoer lampjes,Lichtkabel,Guirlande lumineuse
Decorative or safety lights,Magnifier with light,Loeplamp,Lupenleuchte,Lampe loupe
Decorative or safety lights,Night light,Nachtlampje,Nachtlicht,Veilleuse
Decorative or safety lights,Reading light,Leeslamp,Leselicht,Lampe de lecture
Decorative or safety lights,Squeeze torch / Dynamo flashlight,Knijpkat,Dynamotaschenlampe,Torche dynamoélectrique / Lampe à magnéto
Decorative or safety lights,Studio flash unit,Studioflitser,Studioblitzgerät,Flash de studio
Decorative or safety lights,Theatre spot,Theaterspot,Spotlight,Projecteur directif
Desktop computer,Computer,Computer,Computer,Ordinateur
Desktop computer,Desktop,Desktop,Desktop,Ordinateur de bureau
Digital compact camera,Photo camera,Fotocamera,Fotoapparat,Appareil photo / caméra
DSLR/video camera,Camcorder,Camcorder,Camcorder,Caméscope
DSLR/video camera,Surveillance camera,Beveiligingscamera,√úberwachungskamera,Caméra de surveillance
DSLR/video camera,Video camera,Videocamera,Videokamera,Caméra vidéo
DSLR/video camera,Video transfer device,Video-overzetapparaat,Video-Konverter,Convertisseur video
Fan,Airblower,Airblower,Luftbläser,Souffleur air
Fan,Fan,Ventilator,Ventilator,Ventilateur
Fan,Plafondventilator,Plafondventilator,Plafondventilator,Plafondventilator
Flat screen,Display / monitor,Beeldscherm / Monitor,Bildschirm,Écran
Flat screen,Television,Televisie,Fernseher,Téléviseur
Flat screen,Television foot,Televisievoet,Fernsehständer,Pied de télévision
Food processor,Blender,Blender,Blender,Mixeur
Food processor,Centrifuge,Centrifuge,Zentrifuge,Essoreuse à linge
Food processor,Coffee grinder,Koffiemolen / Bonenmaler,Kaffeemühle / Bonenmühle,Moulin à café
Food processor,Food processor,Keukenmachine / food processor,Küchenmaschine,Robot ménager / robot cuiseur / Robot pâtissier
Food processor,Stick mixer / Hand blender,Staafmixer,Pürierstab,Mixeur plongeur
Games console,Chess computer,Schaakcomputer,Schachcomputer,Ordinateur d'échecs
Games console,Game console,Spelcomputer / Game console,Spielcomputer / Spielkonsole,Ordinateur de jeux / Console de jeux
Games console,Playstation,Playstation,Playstation,Playstation
Games console,Wii,Wii,Wii,Wii
Games console,Xbox,Xbox,Xbox,Xbox
Hair & beauty item,Beard trimmer,Baardtrimmer,Bartschneider,Tondeuse à barbe
Hair & beauty item,Callus remover,Eeltverwijderaar,Hornhautentferner,Lime à callosité
Hair & beauty item,Curler set,Krulset,Lockenwickler-Set,Bigoudis chauffants
Hair & beauty item,Curling iron,Krultang,Lockenstab,Fer à friser
Hair & beauty item,Electric hairbrush,Elektrische haarborstel,Haarbürste elektrisch,Brosse à cheveux électrique
Hair & beauty item,Electric toothbrush,Elektrische tandenborstel,Zahnbürste elektrisch,Brosse à dents électrique
Hair & beauty item,Epilator,Epileerapparaat,Epilierer,Épilateur
Hair & beauty item,Facial steamer,Gezichtsstomer / stoomapparaat voor gezicht,Gesichtssauna,Bain vapeur visage
Hair & beauty item,Foot massage machine,Voetmassageapparaat,Fußmassagegerät,Appareil massage pieds
Hair & beauty item,Footbath,Voetenbad,Fußbad,Bassine bain de pied
Hair & beauty item,Hair clip,Haarklem,Haarspange,Pince à cheveux
Hair & beauty item,Hair curler,Haarkruller / Krulspeld,Lockenwickler,Bigoudi pour cheveux
Hair & beauty item,Hair hygrometer,Haarhygrometer,Haarhygrometer,Hygromètre à cheveux
Hair & beauty item,Hair removal system,Ontharingssysteem,Enthaarungsgerät,Système d'épilation
Hair & beauty item,Hair straightener / Hot brush,Stijltang,Glätteisen,Lisseur à cheveux / fer à lisser
Hair & beauty item,Ladyshave,Ladyshave,Ladyshave,Épilateur électrique
Hair & beauty item,Make-up mirror,Make-upspiegel,Schminkspiegel,Miroir pour maquillage
Hair & beauty item,Massage equipment,Massageapparaat,Massagegerät,Appareil massage
Hair & beauty item,Nail care,Nagelverzorging,Nagelpflegegerät,Manucure
Hair & beauty item,Nail file,Nagelvijl,Nagelfeile,Lime à ongles
Hair & beauty item,Oral shower,Monddouche,Munddusche,Douche buccale
Hair & beauty item,Pedicure appliance,Pedicure-apparaat,Pediküregerät,Appareil pédicure
Hair & beauty item,Shaver / Razor,Scheerapparaat,Rasiergerät,Rasoir électrique
Hair & beauty item,Toothbrush,Tandenborstel,Zahnbürste,Brosse à dents
Hair & beauty item,Water flosser,Waterflosser,Wasserflosser,Hydropulseur / Jet dentaire
Hair dryer,Hair dryer,Föhn,Föhn,Sèche-cheveux
Handheld entertainment device,Dictaphone,Dictafoon,Diktiergerät,Dictaphone
Handheld entertainment device,Discman,Discman,Discman,Baladeur¬†cd
Handheld entertainment device,MP3 CD player,MP3-cd-speler,MP3-CD-Spieler,Lecteur¬†MP3 / CD
Handheld entertainment device,MP3 player,MP3-speler,MP3-Spieler,Lecteur MP3
Handheld entertainment device,MP4 player,MP4-speler,MP4-Spieler,Lecteur MP4
Handheld entertainment device,Walkie-talkie,Walkie-talkie,Funkgerät,Talkie-walkie
Handheld entertainment device,Walkman,Walkman,Walkman,Baladeur / walkman
Headphones,Earphone,Oortelefoontje,Ohrhörer,Oreillette
Headphones,Earphones,Oortjes,Ohrhörer,Oreillettes / Écouteurs
Headphones,Headphones,Koptelefoon,Kopfhörer,Casque audio
Headphones,Headset,Headset,Headset,Casque-micro
Hi-Fi integrated,Boombox,Boombox,Boombox,Boombox
Hi-Fi integrated,Jukebox,Jukebox,Jukebox,Juke-box
Hi-Fi integrated,Karaokeset,Karaokeset,Karaokeset,Ensemble karaoké
Hi-Fi integrated,Mediaplayer,Mediaplayer,Mediaplayer,Lecteur média
Hi-Fi integrated,Stereoset / music centre,Stereoset,Stereoanlage,Chaîne stéréo / HIFI
Hi-Fi separates,Amplifier,Versterker,Verstärker,Amplificateur
Hi-Fi separates,Audio player,Audiospeler,Audiospieler,Lecteur audio
Hi-Fi separates,Audio recorder,Audio-recorder,Audiorekorder,Enregistreur audio
Hi-Fi separates,Cassette deck,Cassettedeck,Kassettendeck,Platine à cassette
Hi-Fi separates,Cassette player / recorder,Cassettespeler / -recorder,Kassettenspieler / -rekorder,Lecteur / enregistreur cassettes
Hi-Fi separates,CD / Cassette player,Cd- / cassettespeler,CD- / Kassettenspieler,Lecteur CD / cassettes
Hi-Fi separates,Cd / dvd player,Cd- / dvd-speler,CD- / DVD-Spieler,Lecteur CD / DVD
Hi-Fi separates,CD player / recorder,Cd-speler / -recorder,CD-Spieler / -Rekorder,Lecteur / enregistreur CD
Hi-Fi separates,DAT recorder,DAT-recorder,DAT-Rekorder,Enregistreur DAT
Hi-Fi separates,DVD / CD / radio player,Dvd- / cd- / radiospeler,DVD- / CD- / Radio-Spieler,Lecteur DVD / CD / radio
Hi-Fi separates,Dvd / cd player,Dvd- / cd-speler,DVD- / CD-Spieler,Lecteur DVD / CD
Hi-Fi separates,Dvd / video player,Dvd- / videospeler,DVD- / Video-Spieler,Lecteur DVD / vidéo
Hi-Fi separates,DVD player / recorder,Dvd-speler / -recorder,DVD-Spieler / -Rekorder,Lecteur / enregistreur DVD
Hi-Fi separates,Equalizer,Equalizer,Equalizer,Égaliseur
Hi-Fi separates,Karaokeset,Karaokeset,Karaokeset,Ensemble karaoké
Hi-Fi separates,Phonograph,Phonograaf,Phonograph,Phonographe
Hi-Fi separates,Radio / CD / cassette player,Radio / cd- / cassettespeler,Radio / CD- / Kassettenspieler,Radio / lecteur cd / cassette
Hi-Fi separates,Radio / CD player,Radio / cd-speler,Radio- / CD-Spieler,Lecteur radio / CD
Hi-Fi separates,Receiver,Receiver / Ontvanger,Receiver,Récepteur
Hi-Fi separates,Reel to reel recorder,Reel-to-reel-recorder,Reel-to-Reel-Rekorder,Enregistreur bobine à bobine
Hi-Fi separates,Sound bar,Soundbar,Soundbar,Soundbar / Barre de son
Hi-Fi separates,Sound mixer,Mengpaneel,Mischpult,Table de mixage
Hi-Fi separates,Speaker,Speaker / Geluidsbox,Lautsprecher,Haut-parleur / Enceinte
Hi-Fi separates,Subwoofer,Subwoofer,Subwoofer,Subwoofer / caisson de basse
Hi-Fi separates,Tape recorder,Bandrecorder,Tonbandgerät,Magnétophone
Hi-Fi separates,Tuner,Tuner,Tuner,Tuner
Hi-Fi separates,Tuner / amplifier,Tuner / versterker,Tuner / Verstärker,Ampli-tuner
Hi-Fi separates,Tuner / amplifier / cassette deck,Tuner / versterker / cassettedeck,Tuner / Verstärker / Kassettendeck,Ampli-tuner / platine à cassette
Hi-Fi separates,Tuner / amplifier / CD player,Tuner / versterker / cd-speler,Tuner / Verstärker / CD-Spieler,Ampli-tuner / lecteur CD
Hi-Fi separates,Tuner / amplifier / receiver,Tuner / versterker / ontvanger,Tuner / Verstärker / Empfänger,Ampli-tuner / récepteur
Hi-Fi separates,Tuner / CD player,Tuner / cd-speler,Tuner / CD-Spieler,Tuner / lecteur CD
Hi-Fi separates,Turntable / record player,Platenspeler / pick-up,Plattenspieler,Tourne-disque
Hi-Fi separates,Wifi amplifier,Wifi-versterker,WLAN-Repeater,Amplificateur Wifi
Hi-Fi separates,World receiver,Wereldontvanger,Weltempfänger,Récepteur monde
Iron,Iron,Strijkijzer,Bügeleisen,Fer à repasser
Iron,Ironing press,Strijkpers,Bügelpresse,Presse à repasser
Iron,Steam iron / Steam ironing station,Stoomstrijkijzer / stoomstrijkstation,Dampfbügeleisen / Dampfbügelstation,Fer à vapeur / centrale vapeur
